TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"ApiManagementClient";"Use these REST APIs for performing operations on A";"";02-01-2018 11:52:51;19-02-2018 08:59:16
"ApiManagementClient";"Use these REST APIs for managing OAuth2 servers co";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on B";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on C";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs to manage Azure API Management";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on E";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on G";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"ApiManagementClient";"Use these REST APIs for performing operations on I";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on l";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for getting the network connec";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on O";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on P";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"ApiManagementClient";"Use these REST APIs for performing operations on P";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on Q";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs to get the analytics reports a";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on S";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on t";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on U";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"ApplicationInsightsManagementClient";"Azure Application Insights client for web test bas";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"ApplicationInsightsManagementClient";"Azure Application Insights client for API keys of ";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApplicationInsightsManagementClient";"Azure Application Insights client for Continuous E";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApplicationInsightsManagementClient";"Azure Application Insights client for selecting pr";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApplicationInsightsManagementClient";"Azure Application Insights client for Components.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApplicationInsightsManagementClient";"Azure Application Insights client for web test bas";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AuthorizationManagementClient";"Role based access control provides you a way to ap";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"AuthorizationManagementClient";"Role based access control provides you a way to ap";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"Update Management";"APIs for managing software update configurations.";"Mohamed Enein";04-12-2017 09:12:06;19-02-2018 08:41:37
"Update Management";"APIs for managing software update configurations.";"Mohamed Enein";04-12-2017 09:12:06;19-02-2018 08:41:37
"AutomationManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"AutomationManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"BatchManagement";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"BatchAI";"The Azure BatchAI Management API.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"BillingManagementClient";"Billing client provides access to billing resource";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"CdnManagementClient";"Use these APIs to manage Azure CDN resources throu";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"CognitiveServicesManagementClient";"Cognitive Services Management Client";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"UsageManagementClient";"";"";22-05-2016 12:37:44;19-02-2018 08:59:16
"ComputeManagementClient";"The Compute Management Client.";"";10-04-2016 23:18:20;19-02-2018 08:59:16
"ContainerServiceClient";"The Container Service Client.";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"DiskResourceProviderClient";"The Disk Resource Provider Client.";"";01-02-2017 10:11:06;19-02-2018 08:41:37
"RunCommandsClient";"The Run Commands Client.";"";20-09-2017 08:49:01;19-02-2018 08:41:37
"ComputeManagementClient";"The Compute Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ComputeManagementConvenienceClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ConsumptionManagementClient";"Consumption management client provides access to c";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"ContainerInstanceManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ContainerRegistryManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ContainerServiceClient";"The Container Service Client.";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"ContainerServiceClient";"The Container Service Client.";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"ContainerServiceClient";"The Container Service Client.";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"Cosmos DB";"Azure Cosmos DB Database Service Resource Provider";"";20-09-2017 08:49:01;19-02-2018 08:41:37
"CustomerInsightsManagementClient";"The Azure Customer Insights management API provide";"";20-09-2017 08:49:01;19-02-2018 08:41:37
"Azure Data Catalog Resource Provider";"The Azure Data Catalog Resource Provider Services ";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"DataFactoryManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"DataLakeAnalyticsAccountManagementClient";"Creates an Azure Data Lake Analytics account manag";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"DataLakeStoreAccountManagementClient";"Creates an Azure Data Lake Store account managemen";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"Azure Data Migration Service Resource Provider";"The Data Migration Service helps people migrate th";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"DevTestLabsClient";"The DevTest Labs Client.";"";27-04-2016 13:30:31;19-02-2018 08:41:37
"DnsManagementClient";"The DNS Management Client.";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"Domain Services Resource Provider";"The AAD Domain Services API.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"EventGridManagementClient";"Azure EventGrid Management Client";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"EventHubManagementClient";"Azure Event Hubs client";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"HDInsightManagementClient";"The HDInsight Management Client.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"IntuneResourceManagementClient";"Microsoft.Intune Resource provider Api features in";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"iotHubClient";"Use this API to manage the IoT hubs in your Azure ";"";14-07-2016 10:37:31;19-02-2018 08:41:37
"KeyVaultManagementClient";"The Azure management API provides a RESTful set of";"";14-07-2016 10:37:31;19-02-2018 08:59:16
"Azure Location Based Services Resource Provider";"Resource Provider";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"LogicManagementClient";"REST API for Azure Logic Apps.";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"Azure ML Commitment Plans Management Client";"These APIs allow end users to operate on Azure Mac";"";26-08-2016 08:56:19;19-02-2018 08:59:16
"Azure ML Web Services Management Client";"These APIs allow end users to operate on Azure Mac";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"Machine Learning Workspaces Management Client";"These APIs allow end users to operate on Azure Mac";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Machine Learning Compute Management Client";"These APIs allow end users to operate on Azure Mac";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ML Team Account Management Client";"These APIs allow end users to operate on Azure Mac";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MarketplaceOrdering.Agreements";"REST API for MarketplaceOrdering Agreements.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MediaServicesManagementClient";"Media Services resource management APIs.";"";14-07-2016 10:37:31;19-02-2018 08:41:37
"Engagement.ManagementClient";"Microsoft Azure Mobile Engagement REST APIs.";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"Azure Action Groups";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure Activity Log Alerts";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"MonitorManagementClient";"";"";25-11-2017 10:52:13;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";02-10-2016 08:32:49;19-02-2018 08:41:37
"MonitorManagementClient";"";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"MonitorManagementClient";"";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"MonitorManagementClient";"";"";02-10-2016 08:32:49;19-02-2018 08:59:16
"ManagedServiceIdentityClient";"The Managed Service Identity Client.";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"MySQLManagementClient";"The Microsoft Azure management API provides create";"";20-09-2017 08:49:01;19-02-2018 08:59:16
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NetworkManagementClient";"The Microsoft Azure Network management API provide";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"NotificationHubsManagementClient";"Azure NotificationHub client";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"Azure Log Analytics - Operations Management";"Azure Log Analytics API reference for Solution.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"PostgreSQLManagementClient";"The Microsoft Azure management API provides create";"";20-09-2017 08:49:01;19-02-2018 08:59:16
"PowerBIDedicated";"PowerBI Dedicated Web API provides a RESTful set o";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Power BI Embedded Management Client";"Client to manage your Power BI Embedded workspace ";"";22-05-2016 12:37:44;19-02-2018 08:41:37
"iotDpsClient";"API for using the Azure IoT Hub Device Provisionin";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"RecoveryServicesBackupClient";"";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"RecoveryServicesClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"RecoveryServicesClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"RecoveryServicesClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"RecoveryServicesClient";"";"";02-10-2016 08:32:49;19-02-2018 08:41:37
"RecoveryServicesBackupClient";"";"";02-10-2016 08:32:49;19-02-2018 08:59:16
"RecoveryServicesBackupClient";"";"";02-10-2016 08:32:49;19-02-2018 08:41:37
"RecoveryServicesBackupClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"RecoveryServicesBackupClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"RecoveryServicesBackupClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SiteRecoveryManagementClient";"";"";20-09-2017 08:49:01;19-02-2018 08:41:37
"RedisManagementClient";"REST API for Azure Redis Cache Service.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Relay";"Use these API to manage Azure Relay resources thro";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"Azure Reservation";"This API describe Azure Reservation";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Microsoft.ResourceHealth";"The Resource Health Client.";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"ResourceManagementClient";"Provides operations for working with resources and";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"FeatureClient";"Azure Feature Exposure Control (AFEC) provides a m";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ManagementLinkClient";"Azure resources can be linked together to form log";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ManagementLockClient";"Azure resources can be locked to prevent other use";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApplicationClient";"ARM applications";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Management Groups";"The Azure Management Groups API enables consolidat";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"PolicyClient";"To manage and control access to your resources, yo";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"PolicyClient";"To manage and control access to your resources, yo";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"PolicyClient";"To manage and control access to your resources, yo";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"PolicyClient";"To manage and control access to your resources, yo";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SubscriptionClient";"All resource groups and resources exist within sub";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SchedulerManagementClient";"";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"SearchManagementClient";"Client that can be used to manage Azure Search ser";"";22-11-2016 15:57:03;19-02-2018 08:41:37
"ServerManagement";"REST API for Azure Server Management Service.";"";20-10-2016 16:26:05;19-02-2018 08:41:37
"Service Map";"Service Map API Reference";"";24-04-2017 10:15:00;19-02-2018 08:59:16
"ServiceBusManagementClient";"Azure Service Bus client";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ServiceFabricManagementClient";"Azure Service Fabric Resource Provider API Client";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database Backup Long Term Retention Policy";"Provides read and update functionality for Azure S";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Server Backup Long Term Retention Vault";"Provides read and update functionality for Azure S";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database Backup";"Provides read functionality for Azure SQL Database";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Server API spec";"The Azure SQL Server management API provides a RES";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database Datamasking Policies and Rules";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Database Threat Detection Policy APIs";"Provides create, read and update functionality for";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides read and update functionality for Azure S";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database Import/Export spec";"Provides create and read functionality for Import/";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database replication links";"Provides read, delete, and failover functionality ";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database API spec";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Azure SQL Database";"Provides create, read, update and delete functiona";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SqlManagementClient";"The Azure SQL Database management API provides a R";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StorageManagement";"The Azure Storage Management API.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StorageImportExport";"The Storage Import/Export Resource Provider API.";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StorSimple8000SeriesManagementClient";"";"";24-04-2017 10:15:00;19-02-2018 08:41:37
"StreamAnalyticsManagementClient";"";"";20-09-2017 08:49:01;19-02-2018 08:41:37
"StreamAnalyticsManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StreamAnalyticsManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StreamAnalyticsManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StreamAnalyticsManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"StreamAnalyticsManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"SubscriptionDefinitionsClient";"Subscription definitions client provides an interf";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"TimeSeriesInsightsClient";"Time Series Insights client";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"TrafficManagerManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"TrafficManagerManagementClient";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Visual Studio Resource Provider Client";"Use these APIs to manage Visual Studio Team Servic";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"AppServiceCertificateOrders API Client";"";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"AppServicePlans API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"CertificateRegistrationProvider API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Certificates API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"DeletedWebApps API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Diagnostics API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"DomainRegistrationProvider API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Domains API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Provider API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"Recommendations API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
" API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"TopLevelDomains API Client";"";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"LogicAppsManagementClient";"";"";27-05-2016 21:37:56;19-02-2018 08:41:37
"WebSite Management Client";"Use these APIs to manage Azure Websites resources ";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Radio & Music Services";"We encapsulate Radio & Music business logic for iP";"";10-07-2017 12:05:11;25-09-2017 12:07:00
"BBC Nitro";"BBC Nitro is the BBC's application programming int";"Open Nitro Project";20-12-2015 14:56:28;20-11-2017 15:10:56
"BBC iPlayer Business Layer";"The definitive iPlayer API.";"Open iBL Project";14-04-2016 12:48:50;20-11-2017 15:10:56
"BC Laws";"BC Laws is an electronic library providing free pu";"";20-04-2017 18:04:18;25-11-2017 10:53:03
"Beanstream Payments";"https://www.beanstream.com/api/v1";"";22-09-2015 16:21:28;04-04-2017 17:27:32
"BeezUP";"# The REST API of BeezUP system
## Overview
The RE";"";24-04-2017 21:26:55;19-02-2018 08:08:39
"Betfair: Exchange Streaming";"API to receive streamed updates. This is an ssl so";"BDP Support";26-11-2017 18:06:14;27-11-2017 12:30:31
"BigOven";"#Documentation

This is the documentation for th";"";06-04-2016 00:54:25;11-12-2017 13:15:36
"BikeWise API v2";"<p>This is an API for accessing information about ";"";13-07-2015 11:41:15;20-11-2017 15:10:56
"Bitbucket";"Code against the Bitbucket API to automate simple ";"Bitbucket Support";09-09-2016 08:57:20;30-05-2017 13:23:20
